time in ms,channel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
22440,4761330,6907237,6723576,6306861,8388607,8388607,8388607,8388607
22574,4760427,6908132,6721663,6307607,8388607,8388607,8388607,8388607
22711,4752142,6909965,6722512,6306936,8388607,8388607,8388607,8388607
22903,4753199,6908248,6719307,6302682,8388607,8388607,8388607,8388607
23036,4758072,6912110,6719114,6305716,8388607,8388607,8388607,8388607
23170,4758834,6912777,6717440,6306695,8388607,8388607,8388607,8388607
23304,4811997,7085819,6689634,6209592,8388607,8388607,8388607,8388607
23438,4573074,6787081,6624858,6602732,8388607,8388607,8388607,8388607
23574,4689991,6874452,6679477,6264613,8388607,8388607,8388607,8388607

3003,4665422,6944498,6692336,6316716,8388607,8388607,8388607,8388607
3186,4666135,6947310,6690352,6315259,8388607,8388607,8388607,8388607
3312,4671897,7001511,6737474,6380811,8388607,8388607,8388607,8388607
3437,4598644,7014866,6647934,6261132,8388607,8388607,8388607,8388607
3562,4580653,6867352,6626068,6263343,8388607,8388607,8388607,8388607
3686,4885578,7142202,6809789,6346688,8388607,8388607,8388607,8388607
3871,4639944,6915509,6670780,6323105,8388607,8388607,8388607,8388607

2971,4858023,7036777,6715390,6384122,8388607,8388607,8388607,8388607
3097,4854403,7031776,6711869,6379799,8388607,8388607,8388607,8388607
3221,4850340,7027496,6707898,6377266,8388607,8388607,8388607,8388607
3345,4846513,7025044,6704454,6374479,8388607,8388607,8388607,8388607
3468,4844370,7021482,6702247,6371500,8388607,8388607,8388607,8388607
3593,4842221,7017416,6700174,6367478,8388607,8388607,8388607,8388607
3713,4838203,7013365,6699023,6364657,8388607,8388607,8388607,8388607
3844,4839393,7010704,6695758,6360913,8388607,8388607,8388607,8388607
3964,4836263,7007484,6692809,6359451,8388607,8388607,8388607,8388607
4091,4833735,7005011,6690631,6357219,8388607,8388607,8388607,8388607
4212,4829672,7001855,6689188,6354142,8388607,8388607,8388607,8388607
4387,4826847,6995942,6684080,6350064,8388607,8388607,8388607,8388607
4509,4825857,6994832,6683475,6348612,8388607,8388607,8388607,8388607
4636,4827382,6991514,6681706,6344788,8388607,8388607,8388607,8388607
4765,4821892,6988340,6680126,6342830,8388607,8388607,8388607,8388607
5033,4818753,6986006,6679494,6340889,8388607,8388607,8388607,8388607
5155,4819808,6980054,6676269,6335939,8388607,8388607,8388607,8388607
5279,4819381,6976232,6675009,6332782,8388607,8388607,8388607,8388607
5405,4819166,6973139,6672572,6330959,8388607,8388607,8388607,8388607
5534,4814102,6970479,6671373,6329974,8388607,8388607,8388607,8388607
5664,4810589,6968193,6668283,6328590,8388607,8388607,8388607,8388607
5796,4809284,6964802,6668328,6325221,8388607,8388607,8388607,8388607
5931,4808410,6962354,6667157,6324057,8388607,8388607,8388607,8388607
6066,4805174,6959575,6663197,6323814,8388607,8388607,8388607,8388607
6252,4803887,6954669,6661406,6320491,8388607,8388607,8388607,8388607
6383,4801555,6952755,6661259,6319073,8388607,8388607,8388607,8388607
6516,4800852,6948676,6661182,6315694,8388607,8388607,8388607,8388607

247396,4714264,6710492,6787387,6548596,8388607,8388607,8388607,8388607
247524,4706338,6704939,6783427,6547345,8388607,8388607,8388607,8388607
247650,4697841,6703561,6784234,6547788,8388607,8388607,8388607,8388607
247776,4699617,6704458,6783530,6550615,8388607,8388607,8388607,8388607
247902,4691531,6704283,6782997,6552541,8388607,8388607,8388607,8388607
248032,4709165,6703605,6785482,6551630,8388607,8388607,8388607,8388607
248158,4693537,6703447,6783583,6554129,8388607,8388607,8388607,8388607
248289,4705287,6701000,6784040,6552877,8388607,8388607,8388607,8388607
248420,4708160,6701566,6781612,6555205,8388607,8388607,8388607,8388607
248550,4702553,6700596,6784634,6555658,8388607,8388607,8388607,8388607
248678,4692559,6701549,6782886,6557794,8388607,8388607,8388607,8388607
248859,4699813,6693583,6778375,6555124,8388607,8388607,8388607,8388607
248988,4703152,6698072,6783785,6558361,8388607,8388607,8388607,8388607
249120,4703077,6699364,6783428,6560326,8388607,8388607,8388607,8388607
249250,4702035,6698711,6785172,6558621,8388607,8388607,8388607,8388607
249541,4683762,6717929,6803205,6579122,8388607,8388607,8388607,8388607
249671,4709193,6701881,6788456,6561383,8388607,8388607,8388607,8388607
249804,4696312,6698470,6782543,6559385,8388607,8388607,8388607,8388607
249935,4703522,6697071,6784149,6557648,8388607,8388607,8388607,8388607
250072,4692772,6695765,6783264,6555360,8388607,8388607,8388607,8388607
250208,4687628,6696025,6781577,6555419,8388607,8388607,8388607,8388607
250341,4693995,6696396,6781661,6555926,8388607,8388607,8388607,8388607
250474,4696619,6695893,6782833,6552932,8388607,8388607,8388607,8388607
250609,4693825,6694989,6782608,6552033,8388607,8388607,8388607,8388607
250792,4674071,6688301,6779497,6546815,8388607,8388607,8388607,8388607
250962,4736047,6685157,6772800,6542905,8388607,8388607,8388607,8388607
251075,4707824,6695319,6785154,6551730,8388607,8388607,8388607,8388607
251191,4725547,6697404,6785796,6551644,8388607,8388607,8388607,8388607
251306,4717082,6697591,6785014,6552549,8388607,8388607,8388607,8388607
251428,4751584,6695802,6783043,6548725,8388607,8388607,8388607,8388607
251705,4683346,6712782,6800723,6568328,8388607,8388607,8388607,8388607
251818,4720451,6701423,6789196,6553795,8388607,8388607,8388607,8388607
251933,4715822,6697279,6786688,6550653,8388607,8388607,8388607,8388607
