time in ms,channel 0,channel 1,channel 2,channel 3,channel 4,channel 5,channel 6,channel 7
48361,0,1660369,1474740,1582870,215225,159725,729926,413525
48482,0,1659121,1475104,1581551,214392,158506,727881,407487
48597,0,1660337,1475196,1579545,212558,157685,724872,402171
48716,0,1660981,1473532,1579608,212284,160912,722940,398190
48839,0,1664590,1471658,1580389,211271,165888,719454,394615
48963,0,1669017,1471399,1583286,211107,174893,717141,391341
49132,0,1673777,1471116,1586134,212058,190219,713110,388605
49331,0,1678710,1471447,1588663,221327,214159,713563,389038
49451,0,1673563,1463994,1581975,222606,220782,709492,385290
49572,0,1669528,1458918,1579831,227679,229749,708067,385056
49690,0,1667022,1456279,1585520,234312,236533,707428,384377
49808,0,1666901,1454392,1594950,242385,239907,705920,383589
49931,0,1667411,1452980,1606472,254090,241917,705627,383796
50054,0,1669125,1451936,1617536,267688,240412,703864,384673
50175,0,1669993,1451745,1629264,283492,236910,703039,385646
50295,0,1671469,1451235,1643838,299157,231921,702680,386710
50419,0,1673913,1450854,1658501,311712,223661,701216,388137
50541,0,1675794,1450524,1667335,320533,216974,701403,390206
50665,0,1679313,1449241,1664490,322443,210357,701690,392484
50838,0,1685012,1445433,1651923,315818,200521,701663,397023
50960,0,1690451,1444492,1643311,308533,195450,701962,402153
51085,0,1693727,1442938,1635374,300138,191566,702473,408523
51294,0,1699309,1445958,1629186,288969,188129,705913,427313
51419,0,1697123,1443090,1622230,276964,181828,703390,433202
51542,0,1697058,1443387,1617965,269433,178377,702796,438579
51671,0,1696530,1443581,1614154,262192,175805,703239,442750
51798,0,1696657,1444331,1610537,257460,172421,702831,443964
51925,0,1694665,1444007,1607476,255736,170713,702165,442385
52055,0,1691546,1445163,1604641,255210,167892,701124,439159
52183,0,1687467,1445554,1602782,258933,167065,699226,434732
52308,0,1682638,1446262,1601756,263574,168806,698540,428450
52438,0,1678098,1446633,1600217,268101,173317,697589,421874
52619,0,1671475,1447544,1597979,272100,180958,694087,410833
52744,0,1671117,1450783,1598612,275691,188541,693986,404708
52872,0,1667639,1452280,1596986,276596,192672,692899,397811
52998,0,1667363,1457273,1596328,277287,195705,691603,392092
53127,0,1666100,1461530,1594010,276776,197302,691254,386450
53336,0,1669656,1478848,1595595,279894,197548,693474,380857
53464,0,1668218,1485011,1589592,275984,190899,691609,375510
53594,0,1669248,1496784,1587602,275713,186717,690407,371821
53726,0,1670957,1508457,1585387,274364,181252,690857,370293
53861,0,1671704,1516875,1582474,274081,176413,691149,371245
53992,0,1671480,1525438,1581936,275626,173147,691476,372591
54123,0,1671628,1531223,1580676,274974,168731,691302,374367
54258,0,1670981,1532392,1579610,275652,165939,693137,379191
54438,0,1671293,1531305,1579312,274967,160965,695142,385762
54570,0,1676687,1529839,1580037,275629,158974,697448,390481
54702,0,1682787,1528176,1580899,276296,156776,700015,394968
54833,0,1690710,1525646,1582895,277571,155342,701688,397846
54966,0,1698241,1522706,1584964,280300,154919,703544,399704
55098,0,1705094,1519615,1585593,282248,155359,703385,399234
55229,0,1710805,1516269,1587078,286293,158441,704027,399123
55448,0,1729587,1515740,1596123,295433,168080,705653,398002
55583,0,1735775,1508805,1595895,295543,170830,703231,393170
55716,0,1745661,1504544,1599060,297452,174872,703017,391224
55850,0,1751942,1499171,1601323,297958,176890,703289,388799
56023,0,1751607,1491089,1597900,295603,174276,700755,384226
56140,0,1751737,1491760,1598265,297532,174658,702517,384614
56311,0,1741195,1488013,1591370,294196,170737,702199,380826
56426,0,1736170,1488242,1587215,292838,170129,703547,379672
56542,0,1729408,1487995,1583956,291183,170789,705403,380045
56658,0,1722407,1488463,1580180,288481,173338,707005,379103
56775,0,1715226,1487375,1576596,287248,177691,709585,377103
56899,0,1708152,1486724,1572410,284757,181131,709402,374117
57015,0,1702701,1487031,1569868,284476,186590,712184,373683
57129,0,1698663,1488739,1568854,284647,190651,713772,371500
57246,0,1693440,1487614,1564880,284215,193047,713876,370209
57442,0,1690628,1490865,1564932,289121,197091,718258,371297
57559,0,1684758,1487867,1560571,286601,192976,715114,368445
57680,0,1680508,1485904,1557762,286347,190119,714792,366632
57799,0,1677695,1484909,1556835,288190,187439,714935,366652
57970,0,1671715,1481929,1556406,291631,181555,713922,365336
58091,0,1671909,1482950,1559768,297812,178715,714040,365916
58218,0,1669323,1481823,1562653,303549,175686,714019,367018
58340,0,1668731,1480580,1568278,307518,173975,714769,368615
58461,0,1668076,1480148,1573418,307171,170685,714768,367559
58585,0,1667919,1479861,1577881,304639,168045,715416,367920
58705,0,1667376,1478603,1581988,298581,166302,715255,367329
58825,0,1668666,1478808,1587583,290418,165207,715947,367881
58953,0,1669149,1477771,1591424,280622,165028,715455,367894
59074,0,1670556,1477652,1594453,270772,166542,715699,368939
59197,0,1671761,1477274,1599268,261951,172309,716385,370285
59399,0,1678193,1480567,1608226,251926,187045,719222,374393
59519,0,1675336,1475536,1607229,241349,192509,716692,374148
59694,0,1672980,1470497,1609314,230444,208072,715975,377921
59815,0,1674881,1468457,1611645,226832,221306,715744,381176
59939,0,1675200,1466153,1611881,224281,234454,717090,386902
60062,0,1675594,1463705,1613133,221776,239472,716887,392757
60187,0,1676839,1461575,1614957,220194,238056,717251,398794
60309,0,1678163,1461311,1616340,220398,233823,717665,405431
60434,0,1679070,1458689,1617889,220675,226144,718378,412777
60565,0,1680657,1457031,1622554,222313,218158,718112,418093
60701,0,1682540,1454167,1626353,224397,210874,718264,422372
60831,0,1683773,1452629,1629286,227445,205488,718714,425316
60959,0,1685217,1450304,1635571,231176,201457,720030,428056
61085,0,1687723,1449695,1643764,236320,198519,721954,428279
61212,0,1687636,1448108,1648509,241896,195407,723129,427168
61477,0,1692911,1449891,1669690,259749,194294,731156,425631
61607,0,1689168,1446258,1670810,262098,189148,732013,420537
61735,0,1686228,1445132,1673821,265055,188322,735514,418368
61864,0,1683794,1444567,1675973,264144,187594,738296,414340
61991,0,1681037,1444002,1673880,259974,187971,740746,411068
62122,0,1678722,1443782,1669293,254546,190346,742146,409039
62252,0,1679122,1442735,1662443,247417,192740,741194,406821
62384,0,1681472,1442700,1654460,241233,196397,740296,404169
62511,0,1684175,1442861,1646647,235875,198726,739318,401545
62639,0,1687896,1442684,1639384,231892,200269,738444,400801
62773,0,1693460,1442640,1632488,228568,199871,737913,398894
62906,0,1697763,1441872,1626748,226340,199806,737749,395849
63039,0,1700592,1441660,1623263,225989,198454,736334,393197
63224,0,1705687,1439418,1618258,227706,197411,735811,390592
63353,0,1711658,1441116,1618005,235636,199291,737636,389203
63560,0,1724209,1445945,1620112,256706,203803,739505,388847
63691,0,1728244,1442482,1615347,265508,200689,736393,384303
63825,0,1731841,1441806,1612862,278604,201750,736005,383278
63960,0,1734513,1442722,1612307,289998,202363,735555,382263
64092,0,1736252,1444310,1611589,297074,201401,735012,382263
64226,0,1735832,1444359,1610221,301708,200157,735840,382682
64359,0,1733629,1444906,1608740,302865,198054,735808,383024
64496,0,1731219,1445866,1608301,301979,195299,736989,384415
64632,0,1727684,1446245,1606263,298819,191150,736654,382985
64775,0,1723159,1447984,1603998,295500,187497,737573,383956
