time in ms,raw 1,raw 2,raw 3,raw 4,raw 5,raw 6,raw 7,raw 8
38567,8388607,7267432,6874123,7127305,4531563,4261383,3014285,4751980
38700,8388607,7269858,6870887,7131008,4529011,4261215,3013485,4752319
38903,8388607,7269748,6872139,7131260,4530970,4261810,3022716,4751531
39046,8388607,7268800,6873478,7130759,4531323,4261180,3028225,4750213
39180,8388607,7271195,6870665,7131712,4530919,4263069,3028349,4750909
39323,8388607,7271809,6874400,7131482,4532098,4262767,3033434,4749431
39456,8388607,7271187,6870784,7132227,4529369,4264142,3026559,4748215
39589,8388607,7267456,6871880,7129046,4532197,4261228,3031164,4746297
39723,8388607,7270822,6872880,7130450,4530949,4262084,3032805,4744710
39856,8388607,7271460,6870955,7131083,4528974,4263470,3034940,4748075
39999,8388607,7270847,6871060,7131774,4531154,4262047,3035537,4746485
40142,8388607,7271206,6871877,7129723,4531788,4262671,3031310,4744625
40286,8388607,7269719,6874685,7129297,4533062,4260413,3025562,4746004
40429,8388607,7268273,6873542,7129098,4532829,4260512,3022968,4745343
40632,8388607,7268080,6871634,7127202,4528646,4259822,3017404,4748484
40775,8388607,7270642,6871978,7127123,4529356,4263550,3016729,4749113
40919,8388607,7271879,6870475,7128540,4529651,4262091,3016087,4746903
41052,8388607,7270104,6874055,7127564,4530683,4260368,3022166,4747371
41225,8388607,7268771,6871699,7124944,4531637,4257231,3024319,4745493
41349,8388607,7268804,6872668,7127159,4531178,4260016,3025818,4745951
41472,8388607,7268507,6872265,7129672,4530120,4262255,3022975,4746226
41595,8388607,7269770,6871358,7131123,4528155,4261389,3016894,4744252
41719,8388607,7271002,6869821,7130354,4528350,4261523,3013260,4744453
41842,8388607,7269034,6870709,7130276,4528309,4260097,3012139,4743868
41965,8388607,7269432,6871917,7128602,4527751,4258699,3017582,4743119
42088,8388607,7268536,6873105,7128328,4528722,4257855,3016430,4744258
42272,8388607,7266949,6870976,7130138,4529776,4259237,3027695,4745246
42405,8388607,7269447,6871675,7130963,4531464,4259761,3027431,4742869
42528,8388607,7266110,6871335,7128499,4531053,4258710,3021506,4743398
42661,8388607,7270032,6870039,7131076,4528950,4261376,3016884,4742873
42784,8388607,7269156,6870507,7128933,4530206,4260677,3011352,4741007
42908,8388607,7268146,6871204,7128367,4530275,4256761,3005105,4741697
43031,8388607,7267989,6870761,7127827,4529931,4258756,3002681,4745977
43164,8388607,7270523,6871844,7127562,4528989,4259627,3000090,4747086
43287,8388607,7268855,6873006,7128344,4532606,4258548,3000594,4748662
43411,8388607,7267537,6872239,7127106,4532333,4260117,2997705,4749833
43534,8388607,7270510,6872827,7127761,4531643,4261133,2994853,4752070
43667,8388607,7268895,6872895,7124930,4530314,4258773,2993200,4751983
43850,8388607,7269332,6873679,7125878,4530374,4260579,2991125,4751185
43984,8388607,7269720,6870403,7124556,4529330,4261857,2993661,4747010
44117,8388607,7270497,6870273,7125761,4529161,4262211,2993745,4748738
44250,8388607,7269047,6872291,7121755,4529218,4258554,2995539,4748161
44383,8388607,7270382,6869212,7120660,4526617,4258461,2995036,4744888
44517,8388607,7270339,6870755,7123762,4526199,4259826,3000248,4747620
44650,8388607,7269677,6872726,7121123,4527230,4257555,3004625,4746677
44783,8388607,7271274,6869580,7123458,4526830,4261214,3002159,4748802
44917,8388607,7270464,6871010,7121698,4523778,4260332,3003031,4749989
45050,8388607,7270687,6873918,7121808,4527647,4259785,3006594,4748763
45183,8388607,7271851,6871510,7123866,4524775,4260555,3002937,4746639
45326,8388607,7271060,6872792,7122553,4525339,4260654,3001541,4745735
45520,8388607,7270858,6871593,7124605,4523557,4263923,3003505,4752738
45653,8388607,7268807,6873506,7121108,4525417,4260712,2999905,4750483
45786,8388607,7270081,6871478,7121853,4523124,4260058,2994633,4749160
45919,8388607,7271615,6870082,7124685,4524335,4263344,2990645,4751181
46053,8388607,7268923,6874372,7122570,4527047,4260675,2994270,4749819
