,Time,PiCCO temp,Swan-Ganz temp,Total Calories,parameter,value
314,12.524174725,36.998977200,36.989576009,-504.000000000,,
315,12.564188063,36.999963757,36.990834634,-512.000000000,,
316,12.604201400,36.998589614,36.988902576,-520.000000000,,
317,12.644214738,37.001048698,36.985434520,-528.000000000,,
318,12.684228076,37.000574353,36.983990938,-536.000000000,,
319,12.724241414,37.000660349,36.982861998,-544.000000000,,
320,12.764254752,36.999859014,36.979930221,-552.000000000,,
321,12.804268089,37.000149001,36.980884606,-560.000000000,,
322,12.844281427,37.000610711,36.978464686,-568.000000000,,
323,12.884294765,37.001779318,36.973055509,-576.000000000,,
324,12.924308103,36.999533978,36.972763250,-584.000000000,,
325,12.964321440,36.999974950,36.970744769,-592.000000000,,
326,13.004334778,36.998576880,36.969392203,-600.000000000,,
327,13.044348116,37.000262536,36.964546274,-600.000000000,,
328,13.084361454,37.001179317,36.960605735,-600.000000000,,
329,13.124374792,37.000464189,36.959657306,-600.000000000,,
330,13.164388129,36.999426396,36.957348838,-600.000000000,,
331,13.204401467,36.999024516,36.953768460,-600.000000000,,
332,13.244414805,37.001536991,36.947738221,-600.000000000,,
333,13.284428143,36.999078842,36.942488637,-600.000000000,,
334,13.324441480,36.999416286,36.941191874,-600.000000000,,
335,13.364454818,36.998777222,36.936235924,-600.000000000,,
336,13.404468156,37.000082841,36.932068967,-600.000000000,,
337,13.444481494,36.997676241,36.927344006,-600.000000000,,
338,13.484494832,37.000302107,36.922359328,-600.000000000,,
339,13.524508169,37.001147491,36.917197391,-600.000000000,,
340,13.564521507,37.000027291,36.910782453,-600.000000000,,
341,13.604534845,37.003293007,36.905955639,-600.000000000,,
342,13.644548183,36.999778540,36.899984872,-600.000000000,,
343,13.684561521,36.999232981,36.893859358,-600.000000000,,
344,13.724574858,37.000381071,36.884631639,-600.000000000,,
345,13.764588196,37.001683084,36.880152816,-600.000000000,,
346,13.804601534,37.000887081,36.873053422,-600.000000000,,
347,13.844614872,37.001911423,36.863698471,-600.000000000,,
348,13.884628209,37.001295536,36.858527515,-600.000000000,,
349,13.924641547,37.000162622,36.848892897,-600.000000000,,
350,13.964654885,36.999036644,36.842407130,-600.000000000,,
351,14.004668223,36.997569616,36.831952348,-600.000000000,,
352,14.044681561,37.001915617,36.824236547,-600.000000000,,
353,14.084694898,37.000197141,36.816297164,-600.000000000,,
354,14.124708236,37.000253654,36.807574006,-600.000000000,,
355,14.164721574,36.996996540,36.796878164,-600.000000000,,
356,14.204734912,37.000576541,36.785723007,-600.000000000,,
357,14.244748249,37.000138781,36.776917960,-600.000000000,,
358,14.284761587,36.999913683,36.767773479,-600.000000000,,
359,14.324774925,36.999527951,36.755444914,-600.000000000,,
360,14.364788263,36.999358359,36.744740295,-600.000000000,,
361,14.404801601,37.000232240,36.733012636,-600.000000000,,
362,14.444814938,36.999085564,36.722751910,-600.000000000,,
363,14.484828276,36.999959254,36.710233767,-600.000000000,,
364,14.524841614,37.000648022,36.697795500,-600.000000000,,
365,14.564854952,36.998977736,36.685508860,-600.000000000,,
366,14.604868289,37.000138405,36.671497151,-600.000000000,,
367,14.644881627,37.000129921,36.660997180,-600.000000000,,
368,14.684894965,36.999683543,36.647679481,-600.000000000,,
369,14.724908303,37.000204380,36.634977942,-600.000000000,,
370,14.764921641,37.001018823,36.619172263,-600.000000000,,
